dimension,baseline,prompt1-country_CN,prompt1-country_US,prompt1-country_VN,prompt2-citizenship_CN,prompt2-citizenship_US,prompt2-citizenship_VN,prompt3-language_CN,prompt3-language_VN,prompt3-language_US
PDI,-25.0,35.0,-25.0,35.0,0.0,-25.0,0.0,50.0,0.0,-25.0
IDV,35.0,-60.0,0.0,-25.0,-25.0,60.0,-25.0,-35.0,0.0,30.0
MAS,-50.0,-50.0,-50.0,-50.0,-16.666666666666664,-50.0,0.0,0.0,0.0,-50.0
UAI,-90.0,18.33333333333333,-90.0,10.0,-40.0,-90.0,-40.0,-40.0,0.0,-90.0
LTO,-13.33333333333333,0.0,-48.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-24.166666666666657
IND,40.0,-40.0,80.0,-15.0,-15.0,105.0,25.0,65.0,-8.333333333333337,92.5
